index,student,state,district_num,formatted_dist_num,abbrev,district,candidate,party,website,twitter_handle,incumbent,age,gender,marital_status,white_non_hispanic,hispanic,black,partisian_lean_pvi,opposed,pct_urban,income,region
698,patrick,Florida,25,25,FL,FL25,Mary Barzee Flores,Democratic,https://marybarzeeflores.com,MBFforCongress,F,,F,Married,T,F,F,R+4,T,94.4,46869.0,S
699,patrick,Florida,25,25,FL,FL25,Mario Díaz-Balart,Republican,https://mariodiazbalart.org,MarioDB,T,57.0,M,Married,F,T,F,R+4,T,94.4,46869.0,S
700,patrick,Georgia,3,3,GA,GA03,Chuck Enderlin,Democratic,https://chuckenderlin.com,Vote_Chuck,F,,M,Married,T,F,F,R+18,T,60.53,50155.0,S
701,patrick,Georgia,3,3,GA,GA03,Drew Ferguson,Republican,https://fergusonforgeorgia.com,DrewFergusonGA,T,51.0,M,Married,T,F,F,R+18,T,60.53,50155.0,S
702,patrick,Georgia,5,5,GA,GA05,John Lewis,Democratic,https://www.johnlewisforcongress.com,repjohnlewis,T,78.0,M,Single,F,F,T,D+34,F,99.97,40708.0,S
703,patrick,Illinois,6,6,IL,IL06,Sean Casten,Democratic,https://castenforcongress.com,VoteCasten,F,,M,Married,T,F,F,R+2,T,99.4,85655.0,MW
704,patrick,Illinois,6,6,IL,IL06,Peter Roskam,Republican,https://www.roskamforcongress.com,PeterRoskam,T,58.0,M,Married,T,F,F,R+2,T,99.4,85655.0,MW
705,patrick,Indiana,8,8,IN,IN08,Larry Bucshon,Republican,https://www.bucshonforcongress.com,DrLarryBucshon,T,56.0,M,Married,T,F,F,R+15,T,58.1,36732.0,MW
706,patrick,Indiana,8,8,IN,IN08,William Tanoos,Democratic,http://williamtanoos.com,Tanoos2018,F,,M,Married,F,F,F,R+15,T,58.1,36732.0,MW
707,patrick,Iowa,4,4,IA,IA04,Charles Aldrich,Libertarian,,,F,,M,,F,F,F,R+11,T,50.58,38242.0,MW
